name,neighborhood,type,year built,year demolished,lat,lon,cause,replacement,source ,Description/Comments,Contributor
Tacoma Building,the Loop,Mixed-Use,1889,1929,41.882,-87.6321,Private Development,One North LaSalle,https://disappointedtourist.org/tacoma-building/,an early skyscraper in Chicago,Jade
Masonic Temple,the Loop,Mixed-Use,1892,1939,41.8848,-87.627575,Private Development,Joffrey Tower,https://disappointedtourist.org/masonic-temple-building/,it was the tallest building in the city until the 1920s,Jade
Olson Park and Waterfall,Avondale,Recreational Area,1935,1978,41.932222,-87.7275,Private Development,parking lot,"https://disappointedtourist.org/olson-waterfall/
https://en.wikipedia.org/wiki/Olson_Park_and_Waterfall","During the opening of the park in 1935, the land was symbolically deeded to the Native American, in recognition of the 100th anniversary of the expulsion after the Blackhawk war. The Chicago Tribune named Olson Park as the first of ""Chicago's Seven Lost Wonders"".[",Jade
Great Central Station,The Loop,Transportation,1856,1893,41.886111,-87.623333,Public Infrastructure,Millenium station,https://en.wikipedia.org/wiki/Great_Central_Station,"""Great Central Station, also known as Great Central Depot,[nb 1] was an intercity train station in Chicago, Illinois, owned by the Illinois Central Railroad (IC). It opened in 1856 and for a time was the largest building in downtown Chicago.""",
Zum Deutschen Eck,Lincoln Square,Hospitality,1956,2000,41.935117,-87.663733,Private Development,parking lot,"https://disappointedtourist.org/zum/
https://www.hmdb.org/m.asp?m=82400","Some blame the son of the original owner, Al Wirth Jr., for taking the money and running, leaving the loyalists without their beloved Zum Deutschen Eck. But, as with anything, life moves on…“Zum Deutschen Eck” was a popular restaurant serving German fare and beer. It was torn down and only a plaque reminds us of this piece of Chicago history today. Angelique B.",Jade
The Schiller Building,the Loop,Entertainment,1892,1961,41.884722,-87.630556,Urban renewal,parking structure,https://chicagoyimby.com/2023/11/lost-legends-11-the-garrick-theater-in-the-loop.html,"""Originally funded by prominent figures like Anton C. Hesing and designed by Adler & Sullivan, the 240-foot tower featured an ornate terra cotta  facade with intricate ironwork, characteristic of the Chicago School architectural style. The building initially served as a venue for German-language operas and cultural events. In the late 1890s, after a shift in patronage, it transitioned to hosting a variety of touring stage shows. Its 1,300-seat theater underwent name changes, from the Dearborn Theater in 1898 to the Garrick Theater in 1903, and would host prominent figures to take the stage such Jane Addams, Eugene V. Debs, and Mae West."" The demolition instigated a large outcry and is considered to be one of the first wide-scale preservation efforts in Chicago.",Jade
Lakeside Building,the Loop,Commercial,1872,1926,41.8791932,-87.632154,Private Development,Bankers Building,"https://www.chicago.gov/content/dam/city/depts/zlup/Historic_Preservation/Publications/Bankers_Building_Final_Report.pdf
https://chicagology.com/rebuilding/rebuilding010/
","""The Lakeside building is the outgrowth of a company, formed by a few of our leading citizens for the purpose of carrying on the publishing and printing business on a more extended scale than had hitherto been done in the West. ... The late Levi A. Leiter had disposed of loop property amounting to $4,250,000 in the vicinity of Clark, Adams and Quincy streets""",
The Lake Shore Drive ‘S’ Curve Bottleneck,Lakeshore East,Transportation,1937,1986,41.902107,-87.623595,Public Infrastructure,Cancer Survivors Plaza,https://chicagoyimby.com/2023/08/lost-legends-8-the-lake-shore-drive-s-curve-bottleneck.html,"It featured two sharp 90-degree turns, fitting for the slower vehicles of the time. However, as traffic speed increased, this once necessary design gradually became a source of congestion and safety concerns.",Jade
Louis Henry Sullivan House,Kenwood,Private Residence,1892,1970,41.8112344,-87.6013211,Fire,residential house,https://www.hmdb.org/m.asp?m=188759,"""Known as the “prophet of modern architecture,” Louis Sullivan advocated creating buildings that honestly mirrored their time, place and technology. Damaged by fire and abandoned, the house was demolished in 1970""",Jade
The 1885 Cook County Courthouse and City Hall ,The Loop,Civic Center,1885,1908,41.88386,-87.631631,Executive/Legislative Action,Chicago City Hall-County Building,https://chicagology.com/goldenage/goldenage126/,The inadequacies of the recently opened buildings made it evident that consideration must be given to the need for a new city hall and a new county building.,
The Historical Haven School,the Loop,School,1862,1884,41.861107,-87.62569,City Growth,a new school site,https://chicagology.com/prefire/prefire111/,"""The dedicatory exercises of the new Haven School building, drew together a large audience of parents, and friends of education. The occasion was bone of rare interest, and will long be remembered as one of the pleasing as well as important events which mark the progress of Chicago in the great cause of education."" ""Mr. Strensland said it was about time to consider the matter of tearing down the Haven School and beginning the constrcution of a new one on its site.""",
Marshall Field House,Prairie District,Private Residence,1873,1955,41.856237,-87.620702,Private Development,private business building,https://chicagology.com/chicagostreets/prairieavenue/1905prairie/,"Built to last 1,000 years, the landmark to the gayety and extravagance of society of the last century is as solid as ever. It was the first house in Chicago to have electric lights.",Jade
The William Borden House,Gold Coast,Private Residence,1886,1962,41.9022046,-87.6255586,Private Development,The Carlyle apartment building,https://chicagology.com/goldenage/goldenage143/,"The demolition of the house is often noted by architectural historians as a major loss of a Gilded Age masterpiece, though its interior was extensively photographed by Richard Nickel before its destruction. ",Jade
Swift & Company Meatpacking Warehouse,Back of the Yards,Industrial,1913,2022,41.81779372,-87.65738906,Industrial Decline,empty lot,https://buildingupchicago.com/2022/07/11/swift-and-company-warehouse-demolition-4155-south-packers-avenue/,warehouse. Chicago: Swift's headquarters was a major center for the nation's beef supply,Jade
John Ramcke House,Licoln Park,Private Residence,1888,2022,41.918893,-87.6562,Private Development,side yard,"https://www.instagram.com/theamericanhome/p/CZA2QnnLnK1/
https://chicago.suntimes.com/2021/12/13/22826913/lincoln-park-sheffield-historic-district-preservation-open-space","""Landmarks Illinois research shows the Queen Anne-style home was built in 1888 for John Ramcke, a leader of the construction trades who apparently moved a few years later. The building in question, at 2028 N. Seminary, carries an “orange” rating under Chicago’s classification of older or historic buildings. It doesn’t protect it but puts a 90-day hold on any demolition order, providing time to get people to talk.""",Jade
Italian Court Building,Magnificent Mile,Mixed-Use,1910,1968,41.893007,-87.623857,Private Development,commercial skyscraper,"https://en.wikipedia.org/wiki/Italian_Court_Building
https://www.facebook.com/groups/truewestloop/posts/4476197359294098/","The Ida B. Wells Homes, which also included the Clarence Darrow Homes and Madden Park Homes, was a Chicago Housing Authority (CHA) public housing project",Jade
Chicago Machinery Exchange ,West Loop,Commercial,1910,2018,41.8826179,-87.6575354,Urban renewal,mixed-use development is to be built,https://bldg51.com/2018/01/25/d-h-burnhams-chicago-machinery-exchange-warehouse-handed-death-sentence/,1910 industrial style building,
Ida B. Wells Homes,Bronzeville,Public Housing,1941,2011,41.826,-87.612,Public housing policy,mixed-income community of Oakwood Shores,https://en.wikipedia.org/wiki/Ida_B._Wells_Homes,was a public housing project,Jade
W.J. Cassidy Tire Company,Fulton River District,Industrial,1902,2022,41.888278,-87.640333,Private Development,"new apartment complex, dubbed ""Cassidy on Canal"",",https://chicagolandarchitecture.substack.com/p/demolitions-of-2022,"""Originally a factory and warehouse for the Tyler & Hippach Mirror Company, Cassidy was designed by Henry J. Schlacks, who had once worked in the offices of Adler & Sullivan and is best known for churches around Chicagoland. The irony is that just after five years after its construction Cassidy became the largest building ever moved (at the time) to make way for the Chicago and North Western Terminal.""",Jade
Klas,Cicero,Hospitality,1922,2022,41.851158,-87.768108,Private Development,currently unused (2026),"https://chicagolandarchitecture.substack.com/p/demolitions-of-2022
https://en.wikipedia.org/wiki/Klas_(restaurant)","""Klas was a restaurant in Cicero, Illinois, founded in 1922 and shuttered in 2016, which specialized in Bohemian cuisine.The restaurant served numerous high ranking Czech and American officials, along with many other notable individuals, and served as an important institution for the Czech American community.""",Jade
Mickelberry Sausage Company plant ,Back of the Yards,Industrial,,1969,41.803889,-87.644722,Fire,Warehouse/Industrial buildings,https://en.wikipedia.org/wiki/Mickelberry_Sausage_Company_plant_explosion,one of the worst tragedies in Chicago history,Jade
Phenix Building,The Loop,Commercial,1886,1957,41.878,-87.6314,Private Development,111 w jackson blvd ,https://en.wikipedia.org/wiki/Phenix_Building_(Chicago),as an office building in Chicago designed by the noted Chicago architectural firm of Burnham and Root.,Jade
Cooley Vocational High School,Old Town,School,1905,1981,41.9053,-87.6381,Private Development,shopping mall,https://en.wikipedia.org/wiki/Cooley_Vocational_High_School,"the Chicago Board of Education voted on a site for the new school site,",Jade
Regal Theater,Bronzeville,Entertainment,1928,1973,41.8092,-87.6158,Private Development,Harold Washington Cultural Center.,"https://en.wikipedia.org/wiki/Regal_Theater,_Chicago",The owner having to file bankruptcy and close down the theater in 1968.,Jade
McCarthy Building,the Loop,Commercial,1873,1989,41.883444,-87.629056,Private Development,a mixed-use 16-story building ,https://en.wikipedia.org/wiki/McCarthy_Building_(Chicago),was demolished in 1989 during the clearing of what is known as Chicago's Block 37,Jade
Tabernacle Community Hospital and Health Center,Englewood,Healthcare,1915,1990,41.79530094,-87.64979093,Unknown,private house,https://en.wikipedia.org/wiki/Tabernacle_Community_Hospital_and_Health_Center,"In 1977, the Chicago Board of Health prohibited the hospital from admitting new patients, and then from performing surgery, because of ""the hospital's tax troubles, allegations of improper use of federal funds, and a series of fires that destroyed or damaged many of the hospital's administrative and patient records. ",Jade
Paradise Theatre ,West Garfield Park,Entertainment,1928,1956,41.884417,-87.725556,Private Development, auto repair business.,https://cinematreasures.org/theaters/344,"Balaban and Katz closed the theater, demolished the building and sold the land to be developed as a supermarket",Jade
Savoy Ballroom,Bronzeville,Entertainment,1927,1970,41.8092,-87.6159,Urban renewal,Harold Washington Cultural Center,https://en.wikipedia.org/wiki/Savoy_Ballroom_(Chicago),"Originally featuring primarily Jazz artists, including Louis Armstrong, Count Basie, Duke Ellington, Earl Hines, Stan Kenton, Dizzy Gillespie, Billie Holiday, Ella Fitzgerald, Gene Krupa, Woody Herman",Jade
Former Susanin’s Auctioneers Loft,South Loop,Commercial,1920,2026,41.87021549,-87.64102444,Private Development,ComEd land,https://www.preservationchicago.org/loss-comed-demolishes-former-susanins-auctioneers-loft-building-at-900-south-clinton-st-2/,a 1920s-era industrial-style office building,Jade
Ravenswood Presbyterian Church,Ravenswood,Religious,1914,2025,41.95993105,-87.67267639,Private Development,New single family homes (planned),https://chicagoyimby.com/2025/10/demolition-imminent-for-former-ravenswood-presbyterian-church.html,The congregation left the building and moved to Mayfair in fall 2024,Jade
Old University of Chicago,Bronzeville,School,1856,1890,41.8317,-87.6114,Private Development,residential building,https://photoarchive.lib.uchicago.edu/db.xqy?keywords=apf2-10070,The school was constantly plagued by financial difficulties and was forced to close in 1886.,Jade
Academy of Music ,West Loop,School,1872,1936,41.88115,-87.64755,Fire,mixed use commercial building,https://en.wikipedia.org/wiki/Academy_of_Music_(Chicago),"The Academy of Music was destroyed by fire on February 5, 1878. Then they rebuilt a second academy. Short lived, the second theatre was destroyed by fire on October 12, 1880. The third academy of music opened in 1882. ",Jade
Michael Reese Hospital,Bronzeville,Healthcare,1881,2013,41.84138,-87.61356,Executive/Legislative Action,Bronzeville Lakefront,https://en.wikipedia.org/wiki/Michael_Reese_Hospital,Portions of the hospital campus were over 100 years old and believed by some preservationists to hold historic value. The older buildings were constructed in an ornate style.,Jade
Dexter Building,South Loop,Commercial,1887,2006,41.873611,-87.626111,Fire,undegoing construction,https://en.wikipedia.org/wiki/Dexter_Building,"It was one of the earliest surviving Louis Sullivan buildings, ""designated as a Chicago Landmark in 1996 and was described by the Landmarks Division of the City of Chicago Department of Planning and Development as an ""irreplaceable link in the chain of work of one of the nation's most important architectural partnerships"".""",Jade
Crawford Station,South Lawndale,Transportation,1924,2020,41.828611,-87.722778,Industrial Decline,currently unused (2026),https://en.wikipedia.org/wiki/Crawford_Station,It was closed in 2012 after a long battle with the community over pollution. ,Jade
Stateway Gardens,Bronzeville,Public Housing,1955,2007,41.827222,-87.627778,Public housing policy,Park Boulevard,https://en.wikipedia.org/wiki/Stateway_Gardens,"Finished by the late 1950s, Stateway Gardens was plagued by a large amount of gang violence, organized crime, and drug abuse. The area gradually became more neglected and underserved by city authorities and the Chicago Police Department which led to mass abandonment and urban decay. ",Jade
Montauk Building,the Loop,Commercial,1882,1902,41.8805,-87.6319,Private Development,Chase Tower,https://en.wikipedia.org/wiki/Montauk_Building,"""Designed by John Wellborn Root Sr. and Daniel Burnham, it was built in 1882–1883, and was demolished in 1902. Author Erik Larson claims that the Montauk became the first building to be called a ""skyscraper"" (""",Jade
Midway Gardens,Hyde Park,Entertainment,1914,1929,41.785341,-87.606794,Private Development,empty lot,https://en.wikipedia.org/wiki/Midway_Gardens,Midway Gardens and declared bankruptcy in March 1916,Jade
Home Insurance Building ,the Loop,Commercial,1885,1931,41.8796,-87.632,Private Development,Field Building,https://chicagoyimby.com/2024/04/lost-legends-12-the-home-insurance-building.html,Destroyed to pave path for the Field Building widely considered the first skyscraper,Jade
Brach's Candy Factory,West Garfield Park,Industrial,1923,2014,41.888874,-87.741943,Industrial Decline,a new industrial center,https://www.atlasobscura.com/places/abandoned-brach-s-candy-factory,was once one of the country's largest confectionary plants,Jade
Belmont Rocks,Lakeview,Recreational Area,1960,2003,41.9388,-87.6348,Public Infrastructure,AIDS Garden Chicago,https://www.chicagotribune.com/2017/08/07/vintage-photos-remembering-belmont-rocks/,"""This was considered a sanctuary for the LGBTQ+ community especially during the AIDS crisis.""",Amanda
Chicago Stock Exchange,The Loop,Mixed-Use,1894,1972,41.8828,-87.6329,Private Development,30 N. LaSalle Street,https://chicagology.com/goldenage/goldenage148/,"""This building was considered a masterpiece of commercial architecture and was designed by Adler & Sullivan.""",Amanda
Jane Addams Homes,Near West Side,Public Housing,1938,2007,41.8694,-87.6578,Public Housing Policy,Roosevelt Square | National Public Housing Museum,https://www.hmdb.org/m.asp?m=289764,"""This was one of the first three public housing projects in Chicago.""",Amanda
Dexter Park,Canaryville,Entertainment,1913,1934,41.816111,-87.646111,Fire,International Amphitheatre,https://www.chicagotribune.com/2017/08/17/then-and-now-chicagos-lost-sports-venues/,"""The horse racing track was also the first home of the White Stockings baseball team and hosted other events like wrestling.""",Amanda
International Amphitheatre,Canaryville,Entertainment,1934,1999,41.816111,-87.646111,Urban Renewal,Vestis,https://www.chicagotribune.com/2017/08/17/then-and-now-chicagos-lost-sports-venues/,"""This was known as the site of four Democratic National Conventions and two Republican National Conventions. It also served as an entertainment venue that hosted Elvis, the Beatles, and the Bulls.""",Amanda
Hull House,Near West Side,Civic Center,1889,1963,41.871667,-87.6475,Urban Renewal,University of Illinois Chicago,https://www.hullhousemuseum.org/faq,"""Hull House became a leading model for social reform in the United States. It introduced services like childcare, public playgrounds, and educational classes for immigrant communities. They were also active in the reforms of child labor laws, women's rights, and education.""",Amanda
Truc Lam Buddhist Temple,Uptown,Religious,1880,2020,41.965059,-87.703927,Private Development,The Gardner School,https://blockclubchicago.org/2019/11/01/despite-efforts-to-save-truc-lam-buddhist-temple-120-year-old-building-likely-to-meet-wrecking-ball/,"""Became a case of failed landmark protection and the demolition also served as a sign of gentrification in the neighborhood.""",Amanda
Fort Dearborn,The Loop,Military,1816,1857,41.88806,-87.62389,Fire,Michigan Ave / Bridge,https://www.architecture.org/online-resources/architecture-encyclopedia/fort-dearborn,"""A rebuilding of the original U.S. Army fort that was burned down during the 1812 Battle of Fort Dearborn. Most of the structure was destroyed in a fire or torn down to make way for the city's expansion.""",Amanda
John and Mary Jones House,South Loop,Private Residence,,,41.870278,-87.628889,Unknown,Dearborn Park,https://www.chicago.gov/content/dam/city/depts/zlup/Historic_Preservation/Publications/Site_of_the_John_and_Mary_Jones_House.pdf,"""This was once the a stop of the Underground Railroad station and was home to prominent Black abolitionists.""",Amanda
Central Music Hall,The Loop,Mixed-Use,1879,1900,41.8842,-87.6275,Private Development,Macy's,https://thearchitectureprofessor.com/2020/07/05/1-7-the-central-music-hall/,"""Widely considered as Adler's first important building, and served as a vital cultural engine in the Loop, bridging commerce with the arts.""",Amanda
Chicago Central Station,South Loop,Transportation,1893,1974,41.868056,-87.621944,Industrial Decline,Central Station,https://chicagoyimby.com/2023/08/lost-legends-9-chicagos-central-station-in-south-loop.html,"""The station was a gateway to Chicago for African Americans who settled in nearby neighborhoods such as Bronzeville.""",Amanda
Archer Daniels Midland Wheat Mill,West Loop,Industrial,1897,2021,41.888,-87.65975,Private Development,In development for a mixed-use project,https://chicagolandarchitecture.substack.com/p/archer-daniels-midland-wheat-mill,"""Largest flour mill in the state when it was first developed.""",Amanda
Chicago and Northwestern Passenger Terminal,West Loop,Transportation,1911,1984,41.882005,-87.64049,Private Development,Accenture Tower,https://chicagoyimby.com/2023/04/lost-legends-4-uncovering-the-history-of-the-chicago-and-north-western-station.html,"""This terminal was known for not only its distinctive clock tower, but also for setting new standards for passenger care.""",Amanda
Meigs Field,Northerly Island,Transportation,1946,2003,41.86,-87.608611,Executive / Legislative Action,Northerly Island Park,https://www.flyingmag.com/looking-back-at-the-overnight-destruction-of-meigs-field/,"""An iconic, single-runway airport that was demolished overnight without prior notice.""",Amanda
Comiskey Park,Armour Square,Entertainment,1910,1991,41.831667,-87.634167,Private Development,Parking Lot,https://www.chicagotribune.com/2017/08/17/then-and-now-chicagos-lost-sports-venues/,"""This was a stadium that once served as home for the White Sox, Caridinals, Chicago American Giants, and the Chicago Sting.""",Amanda
Chicago Grand Central Station,South Loop,Transportation,1890,1971,41.873333,-87.634167,Industrial Decline,Alta Grand Central,https://www.american-rails.com/gcs.html,"""This was considered an architectural marvel and engineering feat. It was also one of the few stations that featured an integrated hotel.""",Amanda
The Morrison Hotel,The Loop,Hospitality,1915,1965,41.8816,-87.6301,Private Development,Chase Tower,https://chicagoyimby.com/2023/03/lost-legends-2-the-morrison-hotel-in-the-loop.html,"""This was once the world's tallest hotel for 30 years and remained the tallest hotel in Chicago up until it was demolished.""",Amanda
Sauganash Hotel,The Loop,Hospitality,1831,1851,41.8854,-87.6365,Fire,The Wigwam,https://webapps1.chicago.gov/landmarksweb/web/landmarkdetails.htm?lanId=1417,"""Chicago's first hotel and first theater.""",Amanda
Wigwam,The Loop,Entertainment,1860,1869,41.8854,-87.6365,Fire,191 North Wacker,https://chicagology.com/prefire/prefire171/,"""This location served as the site for the 1860 Republican National Convention where Abraham Lincoln became the party's nominee for the presidential election.""",Amanda
Former Chicago Sun Times Building,River North,Commercial,1955,2004,41.8889,-87.6264,Private Development,Trump International Hotel and Tower,https://www.chicagomag.com/chicago-magazine/january-2004/ode-to-an-eyesore/,"""Known to be an eyesore and served as the headquarters to Chicago Sun Times Newspaper.""",Amanda
Henrici's,The Loop,Hospitality,1894,1962,41.88393,-87.6302,Urban Renewal,Richard J. Daley Center,https://archive.artic.edu/ryerson/2004,"""This location was actually the second after the original was destroyed in the Great Fire. The restaurant was known as ""Chicago's Most Famous Restaurant.""",Amanda
Granada Theatre,Rogers Park,Entertainment,1926,1990,41.999249,-87.66015,Private Development,Granada Center Building,https://www.legendsofamerica.com/granada-theater-lost-in-chicago/,"""This was once a popular rock-concert venue and movie theatre. At the time, it was one of the three largest theatres in the city.""",Amanda
A.J. Stone Building,Near West Side,Commercial,1892,1964,41.881388,-87.6666629,Private Development,traffic island,https://lookbackchicago.wordpress.com/2021/04/26/from-worlds-fair-to-turtle-square-a-lost-landmark-building-on-chicagos-west-side/,"""This was dubbed the first skyscraper on the West Side.""",Amanda
Iriquois Theatre,The Loop,Entertainment,1903,1925,41.8847,-87.628685,Fire,Nederlander Theatre,https://en.wikipedia.org/wiki/Iroquois_Theatre_fire,"""The building had a fire that killed 600 people just a month after it opened.""",Amanda
Robert Taylor Homes,Bronzeville,Public Housing,1962,2007,41.8125,-87.6275,Public Housing Policy,"""Legends South"" project",https://en.wikipedia.org/wiki/Robert_Taylor_Homes,"""This was the largest public housing project in United States history prior to its demolition.""",Amanda
SMC Cartage Co. garage,Lincoln Park,Industrial,,1967,41.9209837,-87.6376634,Urban Renewal,Margaret Day Blake Apartments,https://www.wbez.org/morning-shift/2018/02/14/whats-that-building-the-site-of-the-st-valentines-day-massacre,"""This was the site of the infamous St. Valentine’s Day Massacre.""",Amanda
Cabrini-Green Homes,Near North Side,Public Housing,1942,2011,41.900417,-87.640139,Public Housing Policy,Mixed-Homes housing,https://www.nytimes.com/2007/03/18/us/18cabrini.html,"""Considered a national symbol of the failure of high-rise public housing policies.""",Amanda
Palmer Mansion,Gold Coast,Residential,1882,1950,41.907324,-87.626615,Private Development,1350-1360 Lake Shore Drive,https://americanaristocracy.com/houses/potter-palmer-mansion,"""At one point, this was the largest private residence in the city. The construction of the mansion essentially led to the establishment of the Gold Coast neighborhood.",Amanda
White City Amusement Park,Woodlawn,Entertainment,1905,1950,41.7808,-87.6166,Public Housing Policy,Parkway Gardens,https://chicagology.com/skyscrapers/skyscrapers069/,"""A premier Chicago entertainment hub that was promoted as the largest of its kind in the US. It also hosted the first Goodyear Blimp assembly.""",Amanda
Garrick Theater,The Loop,Entertainment,1891,1961,41.884722,-87.630556,Private Development,Parking Lot,https://archive.artic.edu/louissullivan/garricktheater/,"""This theater had one of the most publicized preservation campaigns in the city's history.""",Amanda
Edgewater Beach Hotel,Edgewater,Hospitality,1915,1971,41.983611,-87.654722,Private Development,Edgewater Plaza,https://www.edgewaterhistory.org/ehs/local/edgewater-beach-hotel,"""The hotel was known for its notable guests, including Martin Luther King Jr..""",Amanda
Mode Theatre,Lakeview,Entertainment,1913,2005,41.9531047,-87.6573141,Private Development,Mixed-Use building,https://cinematreasures.org/theaters/4467,"""This was a notable neighborhood cinema.""",Amanda
Grand Pacific Hotel,The Loop,Hospitality,1873,1925,41.8786,-87.6315,Private Development,Continental Illinois Bank building,https://drloihjournal.blogspot.com/2017/09/the-two-grand-pacific-hotels-in-chicago.html,"""One of two prominent hotels built in Chicago after the Great Chicago Fire.""",Amanda
Union Stock Yards,Back of the Yards,Industrial,1865,1971,41.8009,-87.6437,Industrial Decline,The Stockyards Industrial Park,https://www.wttw.com/chicago-stories/union-stockyards/the-union-stockyards-a-story-of-american-capitalism,"""Chicago’s first hog packinghouses that fundamentally transformed American agriculture, industrial production, consumer habits, and labor practices.""",Amanda
Vendome Theater,Bronzeville,Entertainment,1919,1949,41.837449,-87.62639,Private Development,Parking Lot for IIT,https://jazzagechicago.wordpress.com/vendome/,"""This theater catered to black audiences who were denied admission to 'whites-only' venues in their neighborhood.""",Amanda
The Pullman Building,The Loop,Mixed-Use,1884,1956,41.8796,-87.6241,Private Development,Borg-Warner Building,https://pullman-museum.org/theCompany/pullmanBuilding.html,"""This was the headquarter of George Pullman's railroad car empire.""",Amanda
Pilgrim Baptist Church,Bronzeville,Religious,1890,2006,41.834444,-87.621389,Fire,Planned: National Museum of Gospel Music,https://en.wikipedia.org/wiki/Pilgrim_Baptist_Church,"""Consicered as the birthplace of gospel music.""",Amanda
Chicago Coliseum,South Loop,Entertainment,1899,1982,41.8624457,-87.6257586,Private Development,Soka Gakkai USA Culture Center,https://www.timeout.com/chicago/news/then-and-now-chicago-coliseum-031020,"""This was a major political and cultural hub that also served as a rock concert venue, an arena for hosting the first-ever roller derby event and early interracial basketball tournaments, as well as ice hockey.""",Amanda
Pekin Theatre,Bronzeville,Entertainment,1906,1946,41.844196,-87.627083,Public Housing Policy,Dearborn Homes,"https://www.kolumnmagazine.com/2025/11/29/seats-of-our-own/#:~:text=The%20Pekin%20remained%2C%20for%20a,building%20was%20demolished%20in%201946.","""This was the first Black-owned musical and vaudeville theater in the United States.""",Amanda
Grand Avenue Radar Track,Montclare,Military,1943,1992,41.9168,-87.7942,Private Development,Parking Lot,https://drloihjournal.blogspot.com/2017/02/chicagos-bridge-to-nowhere_19.html,"""The site was used for testing mobile radar units during World War II.""",Amanda
Damen Silos,McKinley Park,Industrial,1906,2025,41.8375,-87.674667,Private Development,Vacant Land,https://mascontext.com/observations/learning-from-the-damen-silos-demolition,"""A massive concrete grain elevator complex that was later used for film backdrops.""",Amanda
Little Jim’s Tavern,Boystown,Entertainment,,2021,41.9455446,-87.6492599,Private Development,Howard Brown Health center,https://blockclubchicago.org/2020/07/02/little-jims-the-first-and-oldest-gay-bar-in-boystown-closing-for-good/,"""This was Boystown's first-established and longest-running gay bar.""",Amanda
